4.08356e-1    1.82457e-3
4.48046e-1    1.03786e-3
4.91352e-1    6.60844e-4
5.55445e-1    3.97675e-4
6.27822e-1    2.46151e-4
7.53661e-1    1.52334e-4
9.04500e-1    9.97423e-5
1.18811e+0    6.52895e-5
1.60736e+0    4.92031e-5
2.10928e+0    4.03568e-5
3.31458e+0    3.60028e-5
5.05294e+0    3.39849e-5
8.42576e+0    3.69268e-5
1.36283e+1    4.36688e-5
2.01400e+1    5.16561e-5
3.25596e+1    6.83804e-5
4.81048e+1    8.55800e-5
7.32348e+1    1.10158e-4
1.14885e+2    1.45837e-4
1.74837e+2    2.04291e-4
2.66139e+2    2.70482e-4
4.17397e+2    3.78860e-4
6.54622e+2    5.30664e-4
1.15803e+3    7.43019e-4
1.87122e+3    1.10101e-3
2.84805e+3    1.49943e-3
4.20628e+3    2.04222e-3
6.21300e+3    2.70416e-3
9.74530e+3    3.68237e-3
9.74530e+4    3.68237e-2
